time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-04-21 14:05,2077.9,429.43
2023-04-21 15:05,2076.9,429.37
2023-04-21 16:05,2067.3,428.45
2023-04-21 17:05,2053.1,428.16
2023-04-21 18:05,2028.7,427.15
2023-04-21 19:05,2015.0,426.69
2023-04-21 20:05,2036.6,426.78
2023-04-21 21:05,2127.9,426.53
2023-04-21 22:05,2044.1,426.28
2023-04-21 23:05,2066.0,426.5
2023-04-22 00:05,1989.0,425.01
2023-04-22 01:05,2054.5,425.17
2023-04-22 02:05,2371.2,425.82
2023-04-22 03:05,2278.1,426.82
2023-04-22 04:05,6539.3,429.07
2023-04-22 05:05,2844.9,434.92
2023-04-22 06:05,3124.4,435.75
2023-04-22 07:05,3366.4,439.18
2023-04-22 08:05,4232.7,447.98
2023-04-22 09:05,4702.7,450.03
2023-04-22 10:05,3697.9,440.31
2023-04-22 11:05,2380.8,432.32
2023-04-22 12:05,2392.4,442.16
2023-04-22 13:05,2696.1,431.16
2023-04-22 14:05,2122.3,430.31
2023-04-22 15:05,2092.6,428.94
2023-04-22 16:05,2098.8,428.23
2023-04-22 17:05,2070.2,427.9
2023-04-22 18:05,2081.2,427.27
2023-04-22 19:05,2078.4,426.95
2023-04-22 20:05,2072.4,426.6
2023-04-22 21:05,2070.0,426.39
2023-04-22 22:05,2048.9,426.6
2023-04-22 23:05,2041.4,426.11
2023-04-23 00:05,2039.7,426.11
2023-04-23 01:05,2107.6,429.35
2023-04-23 02:05,2154.6,429.18
2023-04-23 03:05,2071.6,427.85
2023-04-23 04:05,2094.1,428.04
2023-04-23 05:05,2103.0,428.09
2023-04-23 06:05,2097.7,428.3
2023-04-23 07:05,2061.5,427.15
2023-04-23 08:05,2057.4,427.49
2023-04-23 09:05,2048.8,428.99
2023-04-23 10:05,2063.2,427.75
2023-04-23 11:05,2092.0,428.62
2023-04-23 12:05,2048.9,428.04
2023-04-23 13:05,2098.7,428.81
2023-04-23 14:05,2135.7,427.63
2023-04-23 15:05,2078.7,427.16
2023-04-23 16:05,2109.7,427.02
2023-04-23 17:05,2127.5,427.08
2023-04-23 18:05,2103.2,426.71
2023-04-23 19:05,2177.5,427.35
2023-04-23 20:05,2167.5,427.12
2023-04-23 21:05,2120.5,426.56
2023-04-23 22:05,2108.4,426.03
2023-04-23 23:05,2126.3,426.04
2023-04-24 00:05,2150.8,426.6
2023-04-24 01:05,2135.3,427.04
2023-04-24 02:05,2214.2,427.72
2023-04-24 03:05,2273.8,428.88
2023-04-24 04:05,2289.5,428.6
2023-04-24 05:05,2271.2,429.47
2023-04-24 06:05,2319.2,430.65
2023-04-24 07:05,2244.3,429.95
2023-04-24 08:05,2260.2,429.68
2023-04-24 09:05,2282.7,430.43
2023-04-24 10:05,2277.4,430.5
2023-04-24 11:05,2284.4,430.37
2023-04-24 12:05,2239.5,430.27
2023-04-24 13:05,2237.4,430.34
2023-04-24 14:05,2279.0,430.43
2023-04-24 15:05,2328.4,429.65
2023-04-24 16:05,2241.8,429.0
2023-04-24 17:05,2274.4,429.34
2023-04-24 18:05,2307.8,429.46
2023-04-24 19:05,2316.1,429.35
2023-04-24 20:05,2285.4,428.63
2023-04-24 21:05,2283.6,428.43
2023-04-24 22:05,2262.6,428.3
2023-04-24 23:05,2259.4,428.1
2023-04-25 00:05,2287.0,428.82
2023-04-25 01:05,2233.7,428.48
2023-04-25 02:05,2223.4,429.87
2023-04-25 03:05,2327.3,431.2
2023-04-25 04:05,2253.0,430.71
2023-04-25 05:05,2399.1,433.15
2023-04-25 06:05,2351.1,433.14
2023-04-25 07:05,2621.8,433.86
2023-04-25 08:05,2793.1,436.18
2023-04-25 09:05,2878.6,436.16
2023-04-25 10:05,2644.6,437.58
2023-04-25 11:05,2505.4,433.56
2023-04-25 12:05,2319.5,432.74
2023-04-25 13:05,2433.3,436.01
2023-04-25 14:05,2248.0,429.65
2023-04-25 15:05,2312.1,430.28
2023-04-25 16:05,2296.4,429.13
2023-04-25 17:05,2278.1,432.24
2023-04-25 18:05,2282.2,429.46
2023-04-25 19:05,2210.0,428.01
2023-04-25 20:05,2150.4,426.94
2023-04-25 21:05,2028.4,425.75
2023-04-25 22:05,1977.8,425.29
2023-04-25 23:05,1975.1,425.13
2023-04-26 00:05,1981.8,425.37
2023-04-26 01:05,1998.4,425.58
2023-04-26 02:05,2514.4,431.93
2023-04-26 03:05,3192.9,438.0
2023-04-26 04:05,3344.3,437.84
2023-04-26 05:05,2672.4,432.78
2023-04-26 06:05,2145.8,429.14
2023-04-26 07:05,1996.5,425.66
2023-04-26 08:05,2096.8,426.59
2023-04-26 09:05,2107.7,426.8
2023-04-26 10:05,2108.8,427.23
2023-04-26 11:05,2127.1,426.42
2023-04-26 12:05,2224.4,426.89
2023-04-26 13:05,2100.3,429.36
2023-04-26 14:05,2084.6,427.25
2023-04-26 15:05,2006.7,425.85
2023-04-26 16:05,2032.6,424.98
2023-04-26 17:05,2006.6,424.5
2023-04-26 18:05,1987.3,424.59
2023-04-26 19:05,1983.1,424.73
2023-04-26 20:05,1988.4,424.57
2023-04-26 21:05,1983.4,424.59
2023-04-26 22:05,1998.5,425.15
2023-04-26 23:05,2029.6,426.37
2023-04-27 00:05,2091.6,428.07
2023-04-27 01:05,2050.8,427.99
2023-04-27 02:05,2071.5,428.93
2023-04-27 03:05,2146.7,430.94
2023-04-27 04:05,2236.4,431.86
2023-04-27 05:05,2158.2,429.33
2023-04-27 06:05,2129.8,429.14
2023-04-27 07:05,2117.3,428.8
2023-04-27 08:05,2081.4,429.19
2023-04-27 09:05,2086.9,428.47
2023-04-27 10:05,2075.7,425.37
2023-04-27 11:05,2129.6,428.08
2023-04-27 12:05,2540.1,429.26
2023-04-27 13:05,2523.7,443.8
2023-04-27 14:05,2437.9,431.96
2023-04-27 15:05,2190.7,425.29
2023-04-27 16:05,2194.0,426.35
2023-04-27 17:05,2151.4,426.47
2023-04-27 18:05,2136.9,423.85
2023-04-27 19:05,2169.2,424.02
2023-04-27 20:05,2101.4,424.23
2023-04-27 21:05,2100.6,424.52
2023-04-27 22:05,2002.6,424.61
